성별,연령,필요 추정 에너지(kcal/일),권장 섭취 탄수화물량(g/일),권장 섭취 단백질량(g/일),권장 섭취 지방량(g/일)
유아,1,900,130,20,22.5
유아,2,900,130,20,22.5
유아,3,1400,130,25,35
유아,4,1400,130,25,35
유아,5,1400,130,25,35
남자,6,1700,130,35,42.5
남자,7,1700,130,35,42.5
남자,8,1700,130,35,42.5
남자,9,2000,130,50,50
남자,10,2000,130,50,50
남자,11,2000,130,50,50
남자,12,2500,130,65,62.5
남자,13,2500,130,65,62.5
남자,14,2500,130,65,62.5
남자,15,2700,130,65,67.5
남자,16,2700,130,65,67.5
남자,17,2700,130,65,67.5
남자,18,2700,130,65,67.5
남자,19,2600,130,65,65
남자,20,2600,130,65,65
남자,21,2600,130,65,65
남자,22,2600,130,65,65
남자,23,2600,130,65,65
남자,24,2600,130,65,65
남자,25,2600,130,65,65
남자,26,2600,130,65,65
남자,27,2600,130,65,65
남자,28,2600,130,65,65
남자,29,2600,130,65,65
남자,30,2500,130,65,62.5
남자,31,2500,130,65,62.5
남자,32,2500,130,65,62.5
남자,33,2500,130,65,62.5
남자,34,2500,130,65,62.5
남자,35,2500,130,65,62.5
남자,36,2500,130,65,62.5
남자,37,2500,130,65,62.5
남자,38,2500,130,65,62.5
남자,39,2500,130,65,62.5
남자,40,2500,130,65,62.5
남자,41,2500,130,65,62.5
남자,42,2500,130,65,62.5
남자,43,2500,130,65,62.5
남자,44,2500,130,65,62.5
남자,45,2500,130,65,62.5
남자,46,2500,130,65,62.5
남자,47,2500,130,65,62.5
남자,48,2500,130,65,62.5
남자,49,2500,130,65,62.5
남자,50,2200,130,60,55
남자,51,2200,130,60,55
남자,52,2200,130,60,55
남자,53,2200,130,60,55
남자,54,2200,130,60,55
남자,55,2200,130,60,55
남자,56,2200,130,60,55
남자,57,2200,130,60,55
남자,58,2200,130,60,55
남자,59,2200,130,60,55
남자,60,2200,130,60,55
남자,61,2200,130,60,55
남자,62,2200,130,60,55
남자,63,2200,130,60,55
남자,64,2200,130,60,55
남자,65,2000,130,60,50
남자,66,2000,130,60,50
남자,67,2000,130,60,50
남자,68,2000,130,60,50
남자,69,2000,130,60,50
남자,70,2000,130,60,50
남자,71,2000,130,60,50
남자,72,2000,130,60,50
남자,73,2000,130,60,50
남자,74,2000,130,60,50
남자,75,1900,130,60,47.5
여자,6,1500,130,35,37.5
여자,7,1500,130,35,37.5
여자,8,1500,130,35,37.5
여자,9,1800,130,45,45
여자,10,1800,130,45,45
여자,11,1800,130,45,45
여자,12,2000,130,55,50
여자,13,2000,130,55,50
여자,14,2000,130,55,50
여자,15,2000,130,55,50
여자,16,2000,130,55,50
여자,17,2000,130,55,50
여자,18,2000,130,55,50
여자,19,2000,130,55,50
여자,20,2000,130,55,50
여자,21,2000,130,55,50
여자,22,2000,130,55,50
여자,23,2000,130,55,50
여자,24,2000,130,55,50
여자,25,2000,130,55,50
여자,26,2000,130,55,50
여자,27,2000,130,55,50
여자,28,2000,130,55,50
여자,29,2000,130,55,50
여자,30,1900,130,50,47.5
여자,31,1900,130,50,47.5
여자,32,1900,130,50,47.5
여자,33,1900,130,50,47.5
여자,34,1900,130,50,47.5
여자,35,1900,130,50,47.5
여자,36,1900,130,50,47.5
여자,37,1900,130,50,47.5
여자,38,1900,130,50,47.5
여자,39,1900,130,50,47.5
여자,40,1900,130,50,47.5
여자,41,1900,130,50,47.5
여자,42,1900,130,50,47.5
여자,43,1900,130,50,47.5
여자,44,1900,130,50,47.5
여자,45,1900,130,50,47.5
여자,46,1900,130,50,47.5
여자,47,1900,130,50,47.5
여자,48,1900,130,50,47.5
여자,49,1900,130,50,47.5
여자,50,1700,130,50,42.5
여자,51,1700,130,50,42.5
여자,52,1700,130,50,42.5
여자,53,1700,130,50,42.5
여자,54,1700,130,50,42.5
여자,55,1700,130,50,42.5
여자,56,1700,130,50,42.5
여자,57,1700,130,50,42.5
여자,58,1700,130,50,42.5
여자,59,1700,130,50,42.5
여자,60,1700,130,50,42.5
여자,61,1700,130,50,42.5
여자,62,1700,130,50,42.5
여자,63,1700,130,50,42.5
여자,64,1700,130,50,42.5
여자,65,1600,130,50,40
여자,66,1600,130,50,40
여자,67,1600,130,50,40
여자,68,1600,130,50,40
여자,69,1600,130,50,40
여자,70,1600,130,50,40
여자,71,1600,130,50,40
여자,72,1600,130,50,40
여자,73,1600,130,50,40
여자,74,1600,130,50,40
여자,75,1500,130,50,37.5
